P1,P2,P2.1,P3,P4,P5,P6,P7,P8.1,P8.2,P8.3,P9,P10,P11.1,P11.2,P11.3,P11.4,P11.5,P11.6,P11.7,P12,P13,P14.1,P14.2,P14.3,P14.4,P14.5,P14.6,P14.7,P15,P16,P17,P18,P19,P20,P21,P22,P23
1988,Sí,,29,,0,De nadie en particular,"Ansiedad, Miedo, Soledad, Preocupación",8,4,9,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),2,Estudiante,Menos de 1.100,Estudios universitarios o equivalentes
1963,Sí,,27,,5,De nadie en particular,"Ansiedad, Miedo, Preocupación",1,3,3,N.C.,Sí,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,6,6,6,6,6,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Ama de casa,De 1.801 a 2.700,Estudios universitarios o equivalentes
1963,Sí,,28,,0,De nadie en particular,"Miedo, Culpa, Preocupación",1,2,3,No,Sí,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,35-39 años,"Precariedad laboral, Falta de estabilidad económica, No tener pareja",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,0,Autónoma,Menos de 1.100,Formación profesional de grado medio
1986,Sí,,20,,0,De nadie en particular,"Ansiedad, Miedo, Culpa, Preocupación",9,Nada de acuerdo 0,Nada de acuerdo 0,No,No,N.C.,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,N.C.,Menos de 1.100,Formación profesional de grado superior
1990,Sí,,30,,2,Sociedad en general,"Ansiedad, Preocupación",9,2,5,N.S.,Sí,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",8,No,De acuerdo,Atea (niega la existencia de Dios),0,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Estudios universitarios o equivalentes
1972,Sí,,2,,0,N.S.,Preocupación,Nada de acuerdo 0,2,1,No,Sí,De acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios",7,7,7,6,6,6,6,Sí,6,No,Totalmente de acuerdo,Católica practicante,5,Empleados de tipo administrativo,Menos de 1.100,Formación profesional de grado superior
2001,No,Sí,,29,0,N.S.,,3,3,2,No,Sí,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,40 o más años,"Estudios, Falta de estabilidad económica, No tener pareja",5,6,6,6,5,5,6,Debería ser más para el hombre y menos para la mujer,10,No,Ni acuerdo ni desacuerdo,No creyente,4,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes
1999,No,N.S.,,30,10,"Familiares, Entorno laboral, Sociedad en general",,2,2,2,No,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",8,No,Ni acuerdo ni desacuerdo,No creyente,5,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Formación profesional de grado superior
1963,No,No,,,0,N.C.,,Nada de acuerdo 0,1,1,N.C.,Sí,Totalmente de acuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Estudios, No tener pareja",7,7,4,7,7,7,7,Debería ser más para la mujer y menos para el hombre,5,No,Totalmente de acuerdo,No creyente,0,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes
2001,No,Sí,,A partir de los 30 años,2,De nadie en particular,,8,2,8,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Estudios, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),2,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes
1991,No,N.S.,,Como Máximo a los 38,6,Sociedad en general,,3,1,1,No,No,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,7,7,7,7,7,7,"No, debería ser más",8,No,De acuerdo,Católica no practicante,2,Autónoma,De 1.801 a 2.700,Formación profesional de grado superior
2004,No,Sí,,27,0,De nadie en particular,,1,2,2,No,No,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",5,4,6,5,6,6,6,Sí,10,No,Totalmente de acuerdo,Católica no practicante,8,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Bachillerato
1993,Sí,,30,,0,De nadie en particular,"Ansiedad, Miedo, Culpa, Preocupación",Totalmente de acuerdo 10,5,5,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,N.C.,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",8,No,Totalmente de acuerdo,No creyente,2,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes
1991,No,No,,,5,"Familiares, Sociedad en general",,3,1,Nada de acuerdo 0,Sí,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,N.C.,"Precariedad laboral, Difícil emancipación, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,Atea (niega la existencia de Dios),0,Empleados de tipo administrativo,De 1.100 a 1.800,Estudios universitarios o equivalentes
1994,No,Sí,,31,5,De nadie en particular,,Nada de acuerdo 0,2,1,No,No,Totalmente en desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,6,6,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,4,Estudiante,Menos de 1.100,Formación profesional de grado superior
1963,Sí,,33,,3,Pareja,"Ansiedad, Miedo, Culpa, Preocupación",2,1,Nada de acuerdo 0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",4,6,6,7,6,4,6,"No, debería ser más",10,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),0,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes
1975,Sí,,35,,10,"Pareja, Sociedad en general, De mí misma",Todas las descritas,Totalmente de acuerdo 10,Nada de acuerdo 0,Nada de acuerdo 0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,N.S.,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente en desacuerdo,No creyente,5,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Formación profesional de grado superior
1950,Sí,,21,,0,De nadie en particular,"Ansiedad, Miedo, Soledad",Nada de acuerdo 0,1,1,No,No,De acuerdo,De acuerdo,De acuerdo,Ni acuerdo ni desacuerdo,De acuerdo,De acuerdo,Ni acuerdo ni desacuerdo,40 o más años,"Precariedad laboral, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,6,6,6,6,6,"No, debería ser más",7,No,De acuerdo,Católica no practicante,4,Ama de casa,Menos de 1.100,Estudios universitarios o equivalentes
1962,Sí,,27,,0,De nadie en particular,Ninguna,Nada de acuerdo 0,Totalmente de acuerdo 10,Totalmente de acuerdo 10,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,4,En paro,Menos de 1.100,Estudios primarios o equivalentes
1995,No,No,,,0,Sociedad en general,,Totalmente de acuerdo 10,2,5,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",7,No,Totalmente de acuerdo,No creyente,2,Empleados de tipo administrativo,De 1.100 a 1.800,Estudios universitarios o equivalentes
1988,No,N.S.,,En tener estabilidad económica,6,Sociedad en general,,2,1,2,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,5,5,5,5,5,N.S.,5,No,De acuerdo,No creyente,1,Trabajadores no cualificados,Menos de 1.100,Educación secundaria obligatoria
1974,Sí,,24,,0,,"Ansiedad, Depresión, Miedo, Culpa, Preocupación",5,5,5,No,No,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,N.C.,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,5,7,7,5,7,Sí,10,No,De acuerdo,N.C.,10,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Estudios primarios o equivalentes
1957,Sí,,33,,0,De nadie en particular,Preocupación,Nada de acuerdo 0,Totalmente de acuerdo 10,Totalmente de acuerdo 10,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,5,5,5,7,Sí,10,No,Totalmente de acuerdo,No creyente,1,Pensionista,De 1.100 a 1.800,Estudios universitarios o equivalentes
1963,Sí,,30,,2,De nadie en particular,"Depresión, Miedo, Preocupación",1,1,1,No,N.S.,De acuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,De acuerdo,Ni acuerdo ni desacuerdo,40 o más años,"Precariedad laboral, Estudios, N.S.",5,5,7,4,6,6,6,Sí,6,No,De acuerdo,N.S.,5,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes
2000,No,Sí,,Alrededor de los 30,3,Familiares,N.C.,1,Nada de acuerdo 0,2,No,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,4,7,4,7,7,"No, debería ser más",8,No,Totalmente de acuerdo,Católica no practicante,5,Trabajadores no cualificados,Menos de 1.100,Estudios universitarios o equivalentes
1965,Sí,,36,,3,De mí misma,Todas las descritas,6,8,8,No,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni acuerdo ni desacuerdo,De acuerdo,35-39 años,"Difícil emancipación, Falta de estabilidad económica, No tener pareja",7,6,7,6,7,6,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,6,En paro,De 1.801 a 2.700,Estudios universitarios o equivalentes
1997,No,No,,,0,De nadie en particular,,Nada de acuerdo 0,3,2,No,No,Totalmente en desacuerdo,N.C.,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,5,6,7,7,6,Sí,10,No,Totalmente de acuerdo,N.S.,7,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Estudios universitarios o equivalentes
1999,No,Sí,,29-32,1,Sociedad en general,,9,7,N.S.,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,N.C.,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,7,5,7,5,5,Sí,10,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),6,N.C.,N.C.,Estudios universitarios o equivalentes
1966,Sí,,21,,5,De mí misma,"Ansiedad, Miedo, Culpa, Preocupación",Nada de acuerdo 0,1,Nada de acuerdo 0,No,No,N.S.,Totalmente en desacuerdo,Totalmente en desacuerdo,N.S.,En desacuerdo,En desacuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,Sí,10,No,Totalmente de acuerdo,N.S.,5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Estudios primarios o equivalentes
1982,No,Sí,,Cuánto antes,8,"Entorno laboral, Sociedad en general",,2,1,Nada de acuerdo 0,Sí,Sí,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,40 o más años,"Precariedad laboral, Estudios, No tener pareja",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica practicante,7,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Estudios universitarios o equivalentes
1963,No,No,,,5,Sociedad en general,,4,4,4,No,N.S.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,N.S.,Totalmente en desacuerdo,Totalmente en desacuerdo,40 o más años,"Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,N.S.,10,No,Ni acuerdo ni desacuerdo,Católica no practicante,0,Empleados de tipo administrativo,N.C.,Estudios universitarios o equivalentes
1991,Sí,,32,,0,De nadie en particular,"Miedo, Culpa, Preocupación",Totalmente de acuerdo 10,7,Totalmente de acuerdo 10,No,N.C.,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,6,5,7,6,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,6,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Estudios universitarios o equivalentes
1972,No,,,,0,N.C.,,Nada de acuerdo 0,3,Nada de acuerdo 0,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,6,7,7,7,7,Debería ser más para la mujer y menos para el hombre,10,No,De acuerdo,Católica no practicante,8,Empleados de tipo administrativo,De 2.701 a 3.900,Formación profesional de grado superior
2002,No,Sí,,26-30,0,N.S.,,2,8,N.S.,No,Sí,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,40 o más años,"Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,5,5,7,"No, debería ser más",8,No,Totalmente de acuerdo,Católica no practicante,4,Técnicos y profesionales científicos e intelectuales,Menos de 1.100,Estudios universitarios o equivalentes
1963,Sí,,27,,0,De nadie en particular,Preocupación,5,N.C.,N.C.,Sí,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,N.S.,Falta de estabilidad económica,5,6,5,5,5,5,5,"No, debería ser más",7,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),1,Empleados de tipo administrativo,Menos de 1.100,Bachillerato
1994,No,N.S.,,,6,Sociedad en general,,6,2,5,No,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,N.S.,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",5,6,7,7,7,4,7,"No, debería ser más",10,No,Totalmente de acuerdo,N.S.,1,Estudiante,Menos de 1.100,Estudios universitarios o equivalentes
2004,No,Sí,,27,7,Sociedad en general,,2,3,1,No,Sí,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,7,5,7,6,7,Sí,10,No,Totalmente de acuerdo,No creyente,2,Trabajadores no cualificados,No tiene ingresos de ningún tipo,Bachillerato
1986,Sí,,33,,2,De nadie en particular,"Ansiedad, Culpa, Soledad, Preocupación",7,3,5,No,No,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,40 o más años,"Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,6,7,7,6,3,7,"No, debería ser más",7,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),4,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Bachillerato
1966,Sí,,22,,0,De nadie en particular,"Miedo, Soledad, Preocupación",Nada de acuerdo 0,N.C.,8,Sí,No,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,5,7,6,7,Sí,5,No,Totalmente de acuerdo,Católica no practicante,4,Autónoma,Menos de 1.100,Educación secundaria obligatoria
2002,No,N.S.,,28,7,Familiares,,Totalmente de acuerdo 10,3,5,No,No,De acuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,Católica no practicante,5,Técnicos y profesionales de apoyo,Menos de 1.100,Bachillerato
1969,Sí,,33,,10,De nadie en particular,"Ansiedad, Miedo, Preocupación",Totalmente de acuerdo 10,Nada de acuerdo 0,N.C.,No,Sí,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,3,"Operadores de instalaciones y maquinaria, y montadores",De 1.100 a 1.800,Educación secundaria obligatoria
1974,Sí,,27,,0,De nadie en particular,"Miedo, Culpa, Preocupación",5,6,6,No,Sí,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica",6,7,2,7,7,6,6,"No, debería ser más",10,No,De acuerdo,Creyente de otra religión,5,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes
1990,Sí,,33,,6,Familiares,"Miedo, Culpa, Preocupación",2,1,2,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,30-34 años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,6,5,7,5,6,"No, debería ser más",7,No,Totalmente de acuerdo,Católica no practicante,3,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Estudios universitarios o equivalentes
1974,No,No,,,1,Sociedad en general,,8,1,3,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,35-39 años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,5,5,5,7,"No, debería ser más",10,No,De acuerdo,Atea (niega la existencia de Dios),1,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes
1985,No,Sí,,40,8,De mí misma,,Nada de acuerdo 0,9,5,Sí,Sí,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,3,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Formación profesional de grado superior
2001,No,N.S.,,30 con trabajo estable y estabilidad económica,1,Sociedad en general,,2,1,2,No,N.S.,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,N.S.,N.S.,40 o más años,"Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,6,5,7,6,7,N.S.,10,No,De acuerdo,Católica no practicante,4,Técnicos y profesionales de apoyo,Menos de 1.100,Estudios universitarios o equivalentes
1962,Sí,,32,,0,De nadie en particular,Preocupación,7,9,9,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,35-39 años,"Precariedad laboral, Estudios, Falta de estabilidad económica",6,6,7,6,6,6,7,"No, debería ser más",10,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),0,Ama de casa,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes
1968,Sí,,31,,0,De nadie en particular,Preocupación,Totalmente de acuerdo 10,Totalmente de acuerdo 10,Nada de acuerdo 0,Sí,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,35-39 años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,4,5,5,6,"No, debería ser más",9,No,De acuerdo,Católica no practicante,0,"Operadores de instalaciones y maquinaria, y montadores",Menos de 1.100,Formación profesional de grado medio
1963,Sí,,25,,0,De nadie en particular,"Miedo, Preocupación",1,Nada de acuerdo 0,Nada de acuerdo 0,N.S.,Sí,De acuerdo,En desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,Sí,De acuerdo,No creyente,2,Trabajadores no cualificados,N.C.,Educación secundaria obligatoria
1955,Sí,,25,,0,De nadie en particular,"Ansiedad, Depresión, Miedo, Soledad, Preocupación",2,7,2,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",6,6,6,6,6,5,5,"No, debería ser más",10,No,De acuerdo,Católica no practicante,3,Pensionista,De 1.100 a 1.800,Bachillerato
1998,No,No,,,8,"Familiares, Amistades, Sociedad en general",,8,4,4,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",5,6,4,3,6,7,4,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),2,Técnicos y profesionales científicos e intelectuales,Menos de 1.100,Estudios universitarios o equivalentes
1963,Sí,,24,,0,De nadie en particular,Ninguna,Nada de acuerdo 0,Totalmente de acuerdo 10,Nada de acuerdo 0,No,N.S.,De acuerdo,N.C.,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,De acuerdo,35-39 años,Falta de estabilidad económica,7,7,7,7,7,7,7,"No, debería ser más",5,Sí,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),0,En paro,No tiene ingresos de ningún tipo,Educación secundaria obligatoria
